paper ID,intervention worker ID,intervention Vote,is intervention vote accurate?,use of tech paper ID,use of tech worker ID,use of tech vote,is tech vote accurate?,older adult paper ID,older adult worker ID,older adult vote,is older vote accurate?,,classes,GOLD INTERVENTION,GOLD USE OF TECH,GOLD OLD,GOLD SI,GOLD remote
1,AT6KZZ2OTABWK,1,1,1,AB66CTVQ90RCV,-1,0,1,A110KENBXU7SUJ,1,1,,INCLUDED,1,1,1,1,1
1,A3IC61LDXYISDY,1,1,1,A1665VCUSZL9YT,1,1,1,A142ZRU284W9O,1,1,,INCLUDED,1,1,1,1,1
1,A142ZRU284W9O,1,1,1,A1UE726OT3JLZ9,1,1,1,A3QX9ABC1DVMQG,-1,0,,INCLUDED,1,1,1,1,1
1,APQMFEY1KUL6A,1,1,1,A2PZDX8PIK73K3,1,1,1,AT6KZZ2OTABWK,1,1,,INCLUDED,1,1,1,1,1
1,A110KENBXU7SUJ,1,1,1,A3F9N2P4NUUR7S,-1,0,1,A1RO22O88I71FD,-1,0,,INCLUDED,1,1,1,1,1
2,A31681CCEVDIH3,-1,0,2,A2PZDX8PIK73K3,1,1,2,A1JGZD9FUDYJ30,1,1,,INCLUDED,1,1,1,1,1
2,A1UE726OT3JLZ9,-1,0,2,AB66CTVQ90RCV,-1,0,2,ASKV5KO5CV616,1,1,,INCLUDED,1,1,1,1,1
2,AT6KZZ2OTABWK,1,1,2,A36ABFLSNFESVJ,1,1,2,A1F8ZAE0P2RA8O,-1,0,,INCLUDED,1,1,1,1,1
2,AB66CTVQ90RCV,-1,0,2,A142ZRU284W9O,1,1,2,A1RO22O88I71FD,1,1,,INCLUDED,1,1,1,1,1
2,A2SBISQJE2ZPJQ,-1,0,2,A3F9N2P4NUUR7S,-1,0,2,MISSING,1,1,,INCLUDED,1,1,1,1,1
3,A3F9N2P4NUUR7S,1,1,3,A26699AEVYMM7N,0,1,3,A1CXAIALV3056P,-1,0,,INCLUDED,1,1,1,1,1
3,A1CXAIALV3056P,-1,0,3,A1665VCUSZL9YT,1,1,3,A1QKB93D6X2TYL,-1,0,,INCLUDED,1,1,1,1,1
3,A3QX9ABC1DVMQG,1,1,3,A1J4AZL6MZ675U,1,1,3,AT6KZZ2OTABWK,1,1,,INCLUDED,1,1,1,1,1
3,AB66CTVQ90RCV,1,1,3,AB66CTVQ90RCV,1,1,3,ASKV5KO5CV616,-1,0,,INCLUDED,1,1,1,1,1
3,A142ZRU284W9O,1,1,3,A29Y7ACFAJV9IS,1,1,3,A3HJNOCKXFOOVP,-1,0,,INCLUDED,1,1,1,1,1
4,A110KENBXU7SUJ,1,1,4,A1J4AZL6MZ675U,1,1,4,AT6KZZ2OTABWK,1,1,,INCLUDED,1,1,1,1,1
4,A2SBISQJE2ZPJQ,1,1,4,A2SBISQJE2ZPJQ,1,1,4,AB66CTVQ90RCV,1,1,,INCLUDED,1,1,1,1,1
4,A3F9N2P4NUUR7S,1,1,4,A2PZDX8PIK73K3,1,1,4,A3QX9ABC1DVMQG,1,1,,INCLUDED,1,1,1,1,1
4,A1W7G0SI8Q7EMM,-1,0,4,A1UE726OT3JLZ9,1,1,4,A2SC7SYQ22RJBR,1,1,,INCLUDED,1,1,1,1,1
4,AT6KZZ2OTABWK,1,1,4,AB66CTVQ90RCV,-1,0,4,A110KENBXU7SUJ,0,0,,INCLUDED,1,1,1,1,1
5,A1UE726OT3JLZ9,1,1,5,A29Y7ACFAJV9IS,1,1,5,A2SC7SYQ22RJBR,1,1,,INCLUDED,1,1,1,1,1
5,A31681CCEVDIH3,-1,0,5,AB66CTVQ90RCV,1,1,5,A1RO22O88I71FD,1,1,,INCLUDED,1,1,1,1,1
5,AB66CTVQ90RCV,1,1,5,AL8NYDL4JOYL3,1,1,5,A1QKB93D6X2TYL,1,1,,INCLUDED,1,1,1,1,1
5,A110KENBXU7SUJ,1,1,5,A142ZRU284W9O,1,1,5,A142ZRU284W9O,1,1,,INCLUDED,1,1,1,1,1
5,A142ZRU284W9O,1,1,5,A1G0W1P43RTBKK,1,1,5,A224B7BAQ0MZSN,1,1,,INCLUDED,1,1,1,1,1
6,AT6KZZ2OTABWK,1,1,6,A10EB4B9AEZT2G,-1,0,6,AB66CTVQ90RCV,1,1,,INCLUDED,1,1,1,1,1
6,A3F0NFNLOLFJT0,1,1,6,AM0JKZVOEOTMA,1,1,6,AT6KZZ2OTABWK,1,1,,INCLUDED,1,1,1,1,1
6,A35K3CN8ZVW6JT,1,1,6,AB66CTVQ90RCV,1,1,6,A2416IYI3FQMAG,1,1,,INCLUDED,1,1,1,1,1
6,A142ZRU284W9O,1,1,6,A3F9N2P4NUUR7S,1,1,6,A1RO22O88I71FD,1,1,,INCLUDED,1,1,1,1,1
6,AB66CTVQ90RCV,1,1,6,A142ZRU284W9O,1,1,6,A1QKB93D6X2TYL,-1,0,,INCLUDED,1,1,1,1,1
7,APQMFEY1KUL6A,-1,0,7,AB66CTVQ90RCV,1,1,7,A110KENBXU7SUJ,0,0,,INCLUDED,1,1,1,1,1
7,A1CXAIALV3056P,-1,0,7,A2PZDX8PIK73K3,1,1,7,A1F8ZAE0P2RA8O,1,1,,INCLUDED,1,1,1,1,1
