item_id,eye_witness,eye_witness_in,eye_witness_out,informative,informative_in,informative_out,damage,damage_in,damage_out,Y_in,Y_out,Y,text
0,0,0,4,1,4,0,0,0,4,0,4,0,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy
1,1,1,3,0,0,4,0,0,4,0,4,0,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris
2,1,1,3,1,3,1,0,0,4,0,4,0,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting
3,1,1,4,0,2,3,0,0,5,0,5,0,Espectacular timelapse del huracÃ­Ã§n #Sandy: http://t.co/l72eVxGn
4,1,1,3,0,3,1,0,0,4,0,4,0,NYers are tough as nails! RT @isardasorensen Rainbow over #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/GYy24Rm1
5,1,1,3,1,4,0,0,1,3,1,3,0,Is in NYC which is on transport and services lockdown shops closed streets deserted. Hurricane Sandy about to hit http://t.co/EOChJbDa
6,1,1,2,0,0,3,0,0,3,0,3,0,RT @1010WINSNewYork: Hurricane Sandy DoesnÃ¤Ã³Â»t Halt NYCÃ¤Ã³Â»s Dining Scene Many Restaurants Still Open & Delivering: http://t.co/1auXXcVv
7,1,1,2,0,2,1,0,0,3,0,3,0,The wind is picking up... #Sandy
8,1,1,3,0,1,3,0,0,4,0,4,0,FuracÃ­Â£o Sandy promete tocar o putedo em Nova York. Ã¤Ã³Ã¬Vamos pularÃ¤Ã³Ã¬ desmente. JÃ­_nior
9,0,0,4,0,0,4,0,0,4,0,4,0,#mentionto Figure out this is the ruse!!! http://t.co/d71bnvO1
10,1,2,4,0,4,2,0,0,6,0,6,0,RT @NewYorkPost: Rainbow over today's #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/J5nsMeAB via @isardasorensen
11,0,0,3,0,0,3,0,0,3,0,3,0,#pisces Any individual learn how to repair this specific? http://t.co/Krr0MNuh
12,1,1,3,0,2,2,0,0,4,0,4,0,RT @MattOrtega: GOP operative and Romney bundler spread false rumors about #Sandy in NYC last night. http://t.co/XLCKGN2L
13,0,0,3,0,1,2,0,0,3,0,3,0,Darla Tobin-Blakes wrote: Massive!! 60 million affected by Hurricane Sandy! #Prayers
14,0,0,3,0,1,2,0,0,3,0,3,0,Our thoughts and well wishes are with our staff customers and friends in the path of Hurricane Sandy. Please stay safe!
15,0,0,3,0,0,3,0,0,3,0,3,0,.....NYC never sleeps but Sandy cooled her down to zero! Het gewone leven begint langzaam weer....
16,0,0,3,0,0,3,0,0,3,0,3,0,Having a whole week off of school ...well why thankyou sandy
17,1,1,5,1,3,3,0,0,6,0,6,0,Ã¤Ã³Ã¬ The Knicks-Nets season opener at the Barclays Center could be postponed due to Superstorm Sandy Ã¤Ã³ÂNOOOO
18,1,1,3,1,3,1,0,0,4,0,4,0,Hurricane Sandy lashes US east coast in path to New York Ã¤Ã³Ã± live updates http://t.co/EBqnxV3T via @guardian
19,1,0,0,1,0,0,0,0,0,0,0,0,Impact: State by state: Sandy is winding down having spent much of its fury in the past two days crashing into ... http://t.co/IH7gCpgQ
20,1,2,1,0,1,2,0,0,3,0,3,0,We're prepared. RT @dadrain Bring it on #sandy @ Park Slope Brooklyn http://t.co/09DbKTIh
21,0,0,3,0,1,2,0,0,3,0,3,0,RT @DepressedDarth: If the hurricane doesn't destroy the 'Jersey Shore' house the Death Star might have to finish the job. #Sandy
22,0,0,3,1,3,0,0,1,2,0,3,0,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD
23,1,1,6,0,3,4,0,0,7,0,7,0,RT @niftynyc: #NYMarathon will happen this year #Sandy #NYC http://t.co/7iNeuM6v
24,0,0,3,1,3,0,0,0,3,0,3,0,#SandyNYC misinformation - Superstorm Sandy Rumors Cost Congressional Campaign Manager His Job http://t.co/VKnzi2Pg (via @ABC)
25,0,0,4,0,2,2,0,0,4,0,4,0,#ipad Must check this out - manufactured my personal day! http://t.co/RfdoOv0A
26,0,0,3,1,3,0,0,1,2,0,3,0,Powerless New Yorkers Find Creative Ways to Charge Gadgets [PICS] http://t.co/1lQhjHC1 see more http://t.co/slEQWb4F
27,1,1,2,1,3,0,1,2,1,0,3,1,RT @iansomerhalder: Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ
28,0,0,4,0,0,4,0,0,4,0,4,0,RT @FrancisBoulle: What if Gangnam Style was actually a giant rain dance and we've brought this on ourselves? #sandy
29,0,0,3,0,1,2,0,0,3,0,3,0,RT @the_ironsheik: i wish the hurricane sandy only go to @zachbraff house and fuck his ass till he die of dog shit rape
30,1,2,2,0,2,2,0,0,4,0,4,0,RT @69D_b: WOW can't believe sharks are swimming the streets/yard of NYC/New Jersey. ScaryÃ“Â‹ÂˆÃ“Â‹Âˆ keep yourselves safe guys #Sandy http://t.co/pjHbb2v9
31,1,1,2,0,1,2,0,0,3,0,3,0,Obviously Sandy wasn't listening when Obama said he was going to stop the rise of the oceans.
32,0,0,3,1,3,0,0,0,3,0,3,0,Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK
33,1,1,2,1,3,0,0,0,3,0,3,0,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......
34,0,0,3,0,0,3,0,0,3,0,3,0,@ContrerasRafael #desastre #Sandy #NYC amigo yo bien gracias a Dios y he tenido luz! :)
35,1,2,2,1,2,2,0,0,4,0,4,0,RT @DesBoisLilou: #Ouragan #Sandy #Requins #NYC #2012 http://t.co/oSJfADfi
36,0,0,3,1,3,0,0,0,3,0,3,0,RT @IrishEagle: Sandy - What Meteorologists Said on October 22 (a week before the historic storm) http://t.co/5GU639tq
