_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,type_of_message,nil,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event_gold,tweet,tweet_no,tweet_no_rt,type_of_message_gold,user
238841781,12/24/2012 13:41:45,false,787060207,,12/24/2012 13:37:36,false,instagc,0.7333,14425455,USA,MI,Rochester,69.136.129.135,,Informative: other,,,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,11899,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,,danholler
238841781,12/24/2012 13:44:17,false,787063467,,12/24/2012 13:39:45,false,instagc,0.8333,13441146,USA,GA,Cleveland,98.18.108.46,,"Informative: offers/gives donations of money, goods, or free services",,,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,11899,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,,danholler
238841781,12/24/2012 13:54:14,false,787076220,,12/24/2012 13:51:24,false,golddiggergpt,0.8182,11092052,USA,IL,Chicago,108.92.226.94,,Informative: celebrities or authorities react to the event or visit the area,,,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,11899,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,,danholler
238841781,1/2/2013 13:37:11,false,797105603,,1/2/2013 13:34:10,false,instagc,0.7143,13166748,USA,MD,Denton,71.200.11.183,,Informative: caution or advice,,,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,11899,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,,danholler
238841782,12/24/2012 13:24:41,false,787038536,,12/24/2012 13:22:21,false,instagc,0.9048,14031300,USA,TX,Dallas,70.247.113.51,true,Not informative: personal only,,,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,116293,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,,kaatteexo
238841782,12/24/2012 13:45:21,false,787064937,,12/24/2012 13:42:10,false,instagc,0.7917,12973811,USA,SC,Greer,108.94.86.115,,"Can not judge (not in English, too short, etc.)",,,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,116293,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,,kaatteexo
238841782,12/24/2012 13:47:04,false,787067034,,12/24/2012 13:45:27,false,instagc,1.0,13024538,USA,FL,Ocala,76.5.55.227,,Not informative: personal only,,,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,116293,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,,kaatteexo
238841782,12/24/2012 14:05:56,false,787091330,,12/24/2012 14:03:55,false,instagc,0.8571,14343804,USA,PA,Lebanon,98.235.250.131,,Not informative: personal only,,,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,116293,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,,kaatteexo
238841783,12/24/2012 13:19:48,false,787032671,,12/24/2012 13:16:35,false,instagc,0.9048,14031300,USA,TX,Dallas,70.247.113.51,true,Informative: other type of photos/videos (not in the above classes),,,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,1091,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,,LotsToLearn
238841783,12/24/2012 13:35:58,false,787052486,,12/24/2012 13:32:04,false,golddiggergpt,0.8889,10491104,USA,WI,Fontana,24.196.110.185,,Informative: other,,,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,1091,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,,LotsToLearn
238841783,12/24/2012 13:44:53,false,787064400,,12/24/2012 13:42:08,false,instagc,0.9091,14545842,USA,NY,Kew Gardens,74.73.57.78,,"Informative: information source with extensive coverage (radio, tv, website, etc.)",,,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,1091,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,,LotsToLearn
238841783,12/24/2012 14:05:56,false,787091332,,12/24/2012 14:03:55,false,instagc,0.8571,14343804,USA,PA,Lebanon,98.235.250.131,,Not informative: personal only,,,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,1091,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,,LotsToLearn
